2025-12-16 16:16:00 | UnstructuredExtractor | INFO     | Extracting content from: 02AC001(1)：下野部工場　機密区域管理要領.pdf
2025-12-16 16:19:13 | UnstructuredExtractor | INFO     | [EXTRACTION] 02AC001(1)：下野部工場　機密区域管理要領.pdf | Extractor: unstructured | Status: SUCCESS | Elements: 44 | Duration: 192.83s
2025-12-16 16:28:31 | UnstructuredExtractor | INFO     | Extracting content from: 02AC001(1)：下野部工場　機密区域管理要領.pdf
2025-12-16 16:28:31 | UnstructuredExtractor | INFO     | Languages: jpn, eng
2025-12-16 16:29:02 | UnstructuredExtractor | INFO     | [EXTRACTION] 02AC001(1)：下野部工場　機密区域管理要領.pdf | Extractor: unstructured | Status: SUCCESS | Elements: 43 | Duration: 31.24s
2025-12-16 16:32:05 | UnstructuredExtractor | INFO     | Extracting content from: 02AC001(1)：下野部工場　機密区域管理要領.pdf
2025-12-16 16:32:05 | UnstructuredExtractor | INFO     | Languages: jpn, eng
2025-12-16 16:32:35 | UnstructuredExtractor | INFO     | [EXTRACTION] 02AC001(1)：下野部工場　機密区域管理要領.pdf | Extractor: unstructured | Status: SUCCESS | Elements: 43 | Duration: 29.84s
2025-12-16 16:34:21 | UnstructuredExtractor | INFO     | Extracting content from: 02AC001(1)：下野部工場　機密区域管理要領.pdf
2025-12-16 16:34:21 | UnstructuredExtractor | INFO     | Languages: jpn, eng
2025-12-16 16:34:51 | UnstructuredExtractor | INFO     | [EXTRACTION] 02AC001(1)：下野部工場　機密区域管理要領.pdf | Extractor: unstructured | Status: SUCCESS | Elements: 43 | Duration: 29.41s
2025-12-16 16:46:27 | UnstructuredExtractor | INFO     | Extracting content from: 02AC001(1)：下野部工場　機密区域管理要領.pdf
2025-12-16 16:46:27 | UnstructuredExtractor | INFO     | Languages: jpn, eng
2025-12-16 16:46:44 | UnstructuredExtractor | INFO     | [EXTRACTION] 02AC001(1)：下野部工場　機密区域管理要領.pdf | Extractor: unstructured | Status: SUCCESS | Elements: 49 | Duration: 16.96s
2025-12-16 17:03:28 | UnstructuredExtractor | INFO     | Extracting content from: 02AC001(1)：下野部工場　機密区域管理要領.pdf
2025-12-16 17:03:28 | UnstructuredExtractor | INFO     | Languages: jpn, eng
2025-12-16 17:04:06 | UnstructuredExtractor | INFO     | [EXTRACTION] 02AC001(1)：下野部工場　機密区域管理要領.pdf | Extractor: unstructured | Status: SUCCESS | Elements: 43 | Duration: 37.92s
